TARGET_BOOK,TARGET_LINE,TARGET_TEXT,SOURCE_BOOK,SOURCE_LINE,SOURCE_TEXT,TYPE,AUTH,NOTES
1,4,Iunonis ob iram,18,119,χόλος Ἥρης,Iunonis ob iram χόλος Ἥρης,Knauer,√
1,4,Iunonis ob iram,5,892,μένος  Ἥρης,Iunonis ob iram μένος  Ἥρης,Knauer,√
1,7,altae moenia Romae,16,698,ὑψίπυλον Τροίην,altae moenia Romae ὑψίπυλον Τροίην,Knauer,√
1,8,quo numine,1,8,τίς  θεῶν,quo numine τίς  θεῶν,Knauer,√
1,8,Musa … mihi memora,2,484,ἔσπετε  μοι Μοῦσαι,Musa … mihi memora ἔσπετε  μοι Μοῦσαι,Knauer,√
1,9,dolens regina deum,1,9,Διὸς υἱός … χολωθεὶς,dolens regina deum Διὸς υἱός … χολωθεὶς,Knauer,X: break btwn words 2/3
1,9,dolens regina deum,4,24,Ἥρῃ … χόλον,dolens regina deum Ἥρῃ … χόλον,Knauer,
1,9,dolens regina deum,8,461,Ἥρῃ … χόλον,dolens regina deum Ἥρῃ … χόλον,Knauer,
1,9,dolens regina deum,5,759,ἐμοὶ δ᾽ ἄχος,dolens regina deum ἐμοὶ δ᾽ ἄχος,Knauer,
1,9,dolens regina deum,18,119,ἀργαλέος χόλος Ἥρης,dolens regina deum ἀργαλέος χόλος Ἥρης,Knauer,
1,10,tot adire labores,6,77,πόνος  μάλιστα  ἐγκέκλιται,tot adire labores πόνος  μάλιστα  ἐγκέκλιται,Knauer,
1,10,casus  labores  impulerit,12,348,πόνος  νεῖκος … ὄρωρεν,casus  labores  impulerit πόνος  νεῖκος … ὄρωρεν,Knauer,
1,12,urbs … fuit,6,152,ἔστι πόλις,urbs … fuit ἔστι πόλις,Knauer,
1,15,terris magis omnibus … coluisse,4,51,πολὺ φίλταταί  πόληες,terris magis omnibus … coluisse πολὺ φίλταταί  πόληες,Knauer,
1,14,dives opum,5,544,ἀφνειὸς βιότοιο,dives opum ἀφνειὸς βιότοιο,Knauer,
1,15,terris … coluisse,4,46,πόληες  Τιέσκετο,terris … coluisse πόληες  Τιέσκετο,Knauer,
1,15,magis omnibus unam  coluisse,3,388,μάλιστα δέ μιν φιλέεσκε,magis omnibus unam  coluisse μάλιστα δέ μιν φιλέεσκε,Knauer,
1,15,magis omnibus unam  coluisse,5,61,ἔξοχα μιν ἐφίλατο,magis omnibus unam  coluisse ἔξοχα μιν ἐφίλατο,Knauer,
1,15,magis omnibus unam  coluisse,20,304,ὃν  περὶ πάντων φίλατο,magis omnibus unam  coluisse ὃν  περὶ πάντων φίλατο,Knauer,
1,15,magis omnibus unam,12,243,εἷς  ἄριστος,magis omnibus unam εἷς  ἄριστος,Knauer,
1,16,hoc regnum,13,21,ἔνθα δέ οἱ κλυτὰ δώματα,hoc regnum ἔνθα δέ οἱ κλυτὰ δώματα,Knauer,
1,17,hic currus,13,23,ἔνθ᾽ ὄχεσφι,hic currus ἔνθ᾽ ὄχεσφι,Knauer,
1,17,currus … regnum,5,193,μεγάροισι … δίφροι,currus … regnum μεγάροισι … δίφροι,Knauer,
1,18,si  sinant,13,807,εἴ  εἴξειαν,si  sinant εἴ  εἴξειαν,Knauer,
1,21,late regem,1,102,εὐρὺ κρείων,late regem εὐρὺ κρείων,Knauer,
1,25,etiam  irarum,9,678,χόλον  ἔτι ,etiam  irarum χόλον  ἔτι ,Knauer,
1,25,saevique dolores,4,169,αἰνὸν ἄχος,saevique dolores αἰνὸν ἄχος,Knauer,
1,26,alta mente,19,125,φρένα  βαθεῖαν,alta mente φρένα  βαθεῖαν,Knauer,
1,39,exurere classem,14,47,νῆας ἐνιπρῆσαι,exurere classem νῆας ἐνιπρῆσαι,Knauer,
1,44,expirantem  flammas,6,182,ἀποπνείουσα πυρὸς,expirantem  flammas ἀποπνείουσα πυρὸς,Knauer,
1,46,ego quae divum,18,364,ἔγωγ᾽ ἥ  θεάων,ego quae divum ἔγωγ᾽ ἥ  θεάων,Knauer,
1,47,et  et  coniunx  gente,4,60,γενεῇ τε καὶ  παράκοιτις,et  et  coniunx  gente γενεῇ τε καὶ  παράκοιτις,Knauer,
1,47,et  et  coniunx  gente,18,365,γενεῇ τε καὶπαράκοιτις,et  et  coniunx  gente γενεῇ τε καὶπαράκοιτις,Knauer,
1,47,soror et coniunx,18,356,κασιγνήτην ἄλοχόν τε,soror et coniunx κασιγνήτην ἄλοχόν τε,Knauer,
