 TARGET_BOOK	TARGET_LINE	TARGET_TEXT	SOURCE_BOOK	SOURCE_LINE	SOURCE_TEXT	TYPE	AUTH	NOTES
1	4	Iunonis ob iram	18	119	χόλος Ἥρης		Knauer	
1	4	Iunonis ob iram	5	892	μένος ... Ἥρης		Knauer	
1	7	altae moenia Romae	16	698	ὑψίπυλον Τροίην		Knauer	
1	8	quo numine	1	8	τίς ... θεῶν		Knauer	
1	8	Musa … mihi memora	2	484	ἔσπετε ... μοι Μοῦσαι		Knauer	
1	9	dolens regina deum	1	9	Διὸς υἱός … χολωθεὶς		Knauer	
1	9	dolens regina deum	4	24	Ἥρῃ … χόλον		Knauer	
1	9	dolens regina deum	8	461	Ἥρῃ … χόλον		Knauer	
1	9	dolens regina deum	5	759	ἐμοὶ δ᾽ ἄχος		Knauer	
1	9	dolens regina deum	18	119	ἀργαλέος χόλος Ἥρης		Knauer	
1	10	tot adire labores	6	77	πόνος ... μάλιστα ... ἐγκέκλιται		Knauer	
1	10	casus ... labores ... impulerit	12	348	πόνος ... νεῖκος … ὄρωρεν		Knauer	
1	12	urbs … fuit	6	152	ἔστι πόλις		Knauer	
1	15	terris magis omnibus … coluisse	4	51	πολὺ φίλταταί ... πόληες		Knauer	
1	14	dives opum	5	544	ἀφνειὸς βιότοιο		Knauer	
1	15	terris … coluisse	4	46	πόληες ... Τιέσκετο		Knauer	
1	15	magis omnibus unam ... coluisse	3	388	μάλιστα δέ μιν φιλέεσκε		Knauer	
1	15	magis omnibus unam ... coluisse	5	61	ἔξοχα μιν ἐφίλατο		Knauer	
1	15	magis omnibus unam ... coluisse	20	304	ὃν ... περὶ πάντων φίλατο		Knauer	
1	15	magis omnibus unam	12	243	εἷς ... ἄριστος		Knauer	
1	16	hoc regnum	13	21	ἔνθα δέ οἱ κλυτὰ δώματα		Knauer	
1	17	hic currus	13	23	ἔνθ᾽... ὄχεσφι		Knauer	
1	17	currus … regnum	5	193	μεγάροισι … δίφροι		Knauer	
1	18	fata 	18	120	μοῖρα		Knauer	
1	18	si ... sinant	13	807	εἴ ... εἴξειαν		Knauer	
1	21	late regem	1	102	εὐρὺ κρείων		Knauer	
1	25	etiam ... irarum	9	678	χόλον ... ἔτι 		Knauer	
1	25	saevique dolores	4	169	αἰνὸν ἄχος		Knauer	
1	26	alta mente	19	125	φρένα ... βαθεῖαν		Knauer	
1	37	mene (ne)	11	403	ἄρα		Knauer	
1	39	exurere classem	14	47	νῆας ἐνιπρῆσαι		Knauer	
1	44	expirantem ... flammas	6	182	ἀποπνείουσα πυρὸς		Knauer	
1	46	ego quae divum	18	364	ἔγωγ᾽ ἥ ... θεάων		Knauer	
1	47	et ... et ... coniunx ... gente	4	60	γενεῇ τε καὶ ... παράκοιτις		Knauer	
1	47	et ... et ... coniunx ... gente	18	365	γενεῇ τε καὶ...παράκοιτις		Knauer	
1	47	soror et coniunx	18	356	κασιγνήτην ἄλοχόν τε		Knauer	
1	47	soror et coniunx	16	432	κασιγνήτην ἄλοχόν τε		Knauer	
1	48	quisquam numen ... adoret	7	447	τις νόον ... μῆτιν ἐνίψει		Knauer	
1	50	corde volutans	21	137	ὅρμηνεν ... θυμὸν 		Knauer	
1	64	tum ... vocibus	14	232	ἔπος ... ἔκ		Knauer	Semantic Range question (Ek can be an adv meaning "therefrom"?)
1	65	divom pater atque hominum rex	14	233	ἄναξ ... τε θεῶν ... τ᾽ ἀνθρώπων		Knauer	
1	65	namque tibi	24	334	σοὶ γάρ τε		Knauer	
1	65	namque tibi	4	286	σφῶϊ...γὰρ 		Knauer	
1	65	divom pater atque hominum	1	544	πατὴρ ἀνδρῶν τε θεῶν τε		Knauer	
1	65	divom pater atque hominum	8	49	πατὴρ ἀνδρῶν τε θεῶν τε		Knauer	
1	65	divom pater atque hominum	15	12	πατὴρ ἀνδρῶν τε θεῶν τε		Knauer	
1	71	sunt mihi	9	144	μοί εἰσι 		Knauer	
1	73	conubio...dicabo	14	268	ὀπυιέμεναι...κεκλῆσθαι		Knauer	Parts of speech question: wife, the noun, and marry/take a wife, the verb
1	74	omnis ... annos	14	276	ἤματα πάντα		Knauer	Semantic range question: years and days
1	76	quid optes	14	195	ὅ τι φρονέεις		Knauer	Semantic range question
1	76	quid optes	18	426	ὅ τι φρονέεις		Knauer	
1	85	Eurusque Notusque	2	145	Εὖρός τε Νότος τε		Knauer	
1	91	intentant...mortem	15	628	θανάτοιο φέρονται		Knauer	
1	93	ingemit ... ad sidera	21	272	ᾤμωξεν ... εἰς οὐρανὸν		Knauer	
1	93	tendens ad sidera palmas	15	371	χεῖρ᾽ ὀρέγων εἰς οὐρανὸν ἀστερόεντα		Knauer	Semantic range question- "stars" versus "starry sky."
1	93	tendens ... palmas	1	450	χεῖρας ἀνασχών		Knauer	
1	93	tendens ... palmas	3	275	χεῖρας ἀνασχών		Knauer	
1	93	tendens ... palmas	19	254	χεῖρας ἀνασχὼν		Knauer	
1	94	voce refert	1	201	ἔπεα ... προσηύδα		Knauer	
1	95	quis ... patrum	21	273	πάτερ ... τίς		Knauer	
1	95	sub moenibus	21	277	ὑπὸ τείχεϊ 		Knauer	
1	96	Danaum fortissime	6	98	κάρτιστον Ἀχαιῶν		Knauer	
1	96	Danaum fortissime	16	21	φέρτατ᾽ Ἀχαιῶν		Knauer	
1	97	mene ... occumbere	21	279	μ᾽ ... κτεῖναι		Knauer	Semantic range question- to die (Latin) versus to kill (Greek) 
1	97	mene Iliacis	21	277	μ᾽ ... Τρώων		Knauer	
1	98	non ... animam	5	250	μή ... ἦτορ		Knauer	
1	99	Aeacidae telo	22	319	αἰχμῆς ... Ἀχιλλεὺς		Knauer	
1	100	ubi tot Simois	12	22	Σιμόεις ὅθι πολλὰ		Knauer	
1	100	sub undis	21	11	περὶ δίνας		Knauer	
1	100	sub undis	21	238	κατὰ ῥέεθρα,		Knauer	
1	100	sub undis	21	239	ἐν δίνῃσι		Knauer	
1	101	scuta ... galeasque	12	22	βοάγρια καὶ τρυφάλειαι		Knauer	
1	101	corpora volvit	21	235	ὦσε ... νεκροὺς		Knauer	
1	101	fortia corpora	3	23	μεγάλῳ .. σώματι		Knauer	
1	102	procella ... ferit	11	306	λαίλαπι τύπτων		Knauer	
1	102	stridens Aquilone procella velum	15	626	ἀνέμοιο ... ἀήτη ἱστίῳ ἐμβρέμεται		Knauer	semantic range question: ἐμβρέμεται and stridens
1	102	iactanti stridens Aquilone procella velum ... fluctusque	1	481	ἄνεμος ... ἱστίον ... κῦμα ... ἴαχε		Knauer	Semantic Range question: ἴαχε = iactanti AND/OR stridens?  General question: What happens if a word is doing double duty?  ἄνεμος for Aquilone OR procella and ἴαχε for iactanti AND stridens.  Is it fine like it is?
1	115	excutitur pronusque ... in caput	5	586	ἔκπεσε ... κύμβαχος ... ἐπὶ βρεχμόν		Knauer	Semantic Range Question: ἔκπεσε and excutitur
1	115	pronusque ... volvitur in caput	6	42	ἐξεκυλίσθη πρηνὴς ... ἐπὶ στόμα		Knauer	
1	115	excutitur pronusque ... caput	12	385	κεφαλῆς ... ἀρνευτῆρι ... κάππεσ᾽		Knauer	Grouping question: κεφαλῆς separated by semicolon; Metaphor Question: ἀρνευτῆρι means tumbler/acrobat and is used metaphorically for one who is falling headlong, but is not specifically used in the Latin; Semantic Range Question: κάππεσ' and excutitur
1	125	et imis stagna	13	21	δέ ... βένθεσι λίμνης		Knauer	
1	126	alto ... unda	13	15	ἁλὸς		Knauer	
1	126	et ... prospiciens	15	6	ἴδε δὲ		Knauer	
1	130	nec latuere ... Iunonis	1	536	οὐδέ ... Ἥρη ἠγνοίησεν 		Knauer	Semantic Range Question: concealment and lack of perception
1	130	nec latuere	23	323	οὐδέ ... λήθει		Knauer	
1	131	ad ... fatur	15	13	πρὸς ... ἔειπεν		Knauer	
1	137	maturate ... haec	11	140	ἀγγελίην ἐλθόντα		Knauer	Semantic Range Question: generic "coming" versus "hastening," and (speak) "these things" versus "message"
1	138	pelagi ... mihi sorte	15	190	ἐγὼν ἔλαχον ... ἅλα ... παλλομένων		Knauer	Semantic Range Question: lot, the noun, versus "obtaining by lot" and "drawing/shaking lots" the verbs
1	140	vestras ... domos ... et ... regnet	1	179	οἴκαδ᾽ ... σῇς ... καὶ ... ἄνασσε		Knauer	Semantic Range Question: "homes" and "homeward"
