ambrose.apologia_david_altera,urn:cts:latinLit:stoa0022.stoa014,,,
ambrose.de_apologia_david,urn:cts:latinLit:stoa0022.stoa015,,,
ambrose.de_cain,urn:cts:latinLit:stoa0022.stoa021,,,
ambrose.de_fuga_saeculi,urn:cts:latinLit:stoa0022.stoa029,,,
ambrose.de_helia_et_ieiunio,urn:cts:latinLit:stoa0022.stoa025,,,
ambrose.de_iacob,urn:cts:latinLit:stoa0022.stoa034,,,
ambrose.de_interpellatione_iob_et_david,urn:cts:latinLit:stoa0022.stoa032,,,
ambrose.de_ioseph,urn:cts:latinLit:stoa0022.stoa035,,,
ambrose.de_mysteriis,,,,The Latin Library
ambrose.de_nabuthae,urn:cts:latinLit:stoa0022.stoa038,,,
ambrose.de_noe,urn:cts:latinLit:stoa0022.stoa039,,,
ambrose.de_paradiso,urn:cts:latinLit:stoa0022.stoa042,,,
ambrose.de_patriarchis,urn:cts:latinLit:stoa0022.stoa019,,,
ambrose.de_tobia,urn:cts:latinLit:stoa0022.stoa044,,,
ambrose.epistula_ad_sororem,,,,The Latin Library
ambrose.epistulae_variae,,,,The Latin Library
ambrose.exlanatio_super_psalmos_xii,urn:cts:latinLit:stoa0022.stoa048,,,
ambrose.expositio_de_psalmo_cxviii,urn:cts:latinLit:stoa0022.stoa052,,,
ambrose.expositio_evangelii_secundum_lucan,urn:cts:latinLit:stoa0022.stoa051,,,
ambrose.hexameron,urn:cts:latinLit:stoa0022.stoa054,,,
ammianus.rerum_gestarum,urn:cts:latinLit:stoa0023.stoa001,,,
anonymous.laudes_domini,,,,http://www.divusangelus.it/texts/sec4dc/laudesdomini.htm
apuleius.apologia,urn:cts:latinLit:phi1212.phi001,,,
apuleius.de_deo_socratis,urn:cts:latinLit:phi1212.phi004,,,
apuleius.florida,urn:cts:latinLit:phi1212.phi003,,,
apuleius.metamorphoses,urn:cts:latinLit:phi1212.phi002,,,
aristotle.economics_book_3,urn:cts:greekLit:tlg0086.tlg029,,,
arnobius.adversus_nationes,urn:cts:latinLit:stoa0034.stoa001,,,
augustine.adnotationes_in_iob,urn:cts:latinLit:stoa0040.stoa001a,,,
augustine.breviculus_collationis_cum_donatistis,urn:cts:latinLit:stoa0040.stoa014a,,,
augustine.commonitorium,urn:cts:latinLit:stoa0040.stoa015b,,,
augustine.confessions,urn:cts:latinLit:stoa0040.stoa001,,,
augustine.contra_academicos,urn:cts:latinLit:stoa0040.stoa016,,,
augustine.contra_adimantum,urn:cts:latinLit:stoa0040.stoa017,,,
augustine.contra_cresconium_grammaticum_et_donatistam,urn:cts:latinLit:stoa0040.stoa019,,,
augustine.contra_duas_epistulas_pelagianorum,urn:cts:latinLit:stoa0040.stoa021,,,
augustine.contra_epistulam_fundamenti,urn:cts:latinLit:stoa0040.stoa021a,,,
augustine.contra_epistulam_parmeniani,urn:cts:latinLit:stoa0040.stoa023,,,
augustine.contra_faustum,urn:cts:latinLit:stoa0040.stoa024,,,
augustine.contra_felicem,urn:cts:latinLit:stoa0040.stoa031a,,,
augustine.contra_fortunatum,urn:cts:latinLit:stoa0040.stoa024b,,,
augustine.contra_gaudentium_donatistarum_episcopum,urn:cts:latinLit:stoa0040.stoa025,,,
augustine.contra_litteras_petiliani,urn:cts:latinLit:stoa0040.stoa027,,,
augustine.contra_mendacium,urn:cts:latinLit:stoa0040.stoa029,,,
augustine.contra_partem_donati_post_gesta,urn:cts:latinLit:stoa0040.stoa029a,,,
augustine.contra_secundinum,urn:cts:latinLit:stoa0040.stoa031,,,
augustine.de_adulterinis_coniugiis,urn:cts:latinLit:stoa0040.stoa036,,,
augustine.de_agone_christiano,urn:cts:latinLit:stoa0040.stoa032,,,
augustine.de_baptismo,urn:cts:latinLit:stoa0040.stoa033a,,,
augustine.de_beata_vita,urn:cts:latinLit:stoa0040.stoa034,,,
augustine.de_bono_coniugali,urn:cts:latinLit:stoa0040.stoa035,,,
augustine.de_bono_viduitatis,urn:cts:latinLit:stoa0040.stoa035a,,,
augustine.de_civitate_dei,urn:cts:latinLit:stoa0040.stoa003,,,
