ID	AUTHOR	TITLE	PHI	PUB	PUB_CERT	FILE	WORDS
1	1	Rerum Gestarum		391	0	ammianus.rerum_gestarum	129913
2	2	Apologia	1212 001 Apol	170	0	apuleius.apologia	21508
3	2	Florida	1212 003 Fl	169	0	apuleius.florida	7884
4	2	Metamorphoses	1212 002 Met	170	0	apuleius.metamorphoses	53334
5	3	Epistulae Selections		430	0	augustine.epistulae_selections	46252
6	4	Cento Nuptialis		399	0	ausonius.cento_nuptialis	1559
7	4	Commemoratio Professorum Burdigalensium		399	0	ausonius.commemoratio_professorum_burdigalensium	2632
8	4	Cupido Cruciatur		399	0	ausonius.cupido_cruciatur	741
9	4	De Bissula		399	0	ausonius.de_bissula	372
10	4	De Herediolo		399	0	ausonius.de_herediolo	246
11	4	De Xii Caesaribu		399	0	ausonius.de_xii_caesaribus	852
12	4	Eclogarum Liber		399	0	ausonius.eclogarum_liber	2744
13	4	Ephemeris Id Est Totius Diei Negotium		399	0	ausonius.ephemeris_id_est_totius_diei_negotium	1287
14	4	Epicedion In Patrem		399	0	ausonius.epicedion_in_patrem	491
15	4	Epigrammata Ausonii De Diversis Rebus		399	0	ausonius.epigrammata_ausonii_de_diversis_rebus	3645
16	4	Epistularium		399	0	ausonius.epistularum	10256
17	4	Epitaphia Heroum Qui Bello Troico Interfuerunt		399	0	ausonius.epitaphia_heroum_qui_bello_troico_interfuerunt	1203
18	4	Gratiarum Actio		399	0	ausonius.gratiarum_actio	4143
19	4	Griphus Temarii Numeri		399	0	ausonius.griphus_ternarii_numeri	1072
20	4	Libri De Fastis Conclusio		399	0	ausonius.libri_de_fastis_conclusio	144
21	4	Ludus Septum Sapientum		399	0	ausonius.ludus_septem_sapientum	1319
22	4	Mosella		399	0	ausonius.mosella	3260
23	4	Oratio Consulius Ausonii Cersibus Rhopalicis		399	0	ausonius.oratio_consulis_ausonii_versibus_rhopalicis	211
24	4	Ordo Urbium Nobilium		399	0	ausonius.ordo_urbium_nobilium	1046
25	4	Parentalia		399	0	ausonius.parentalia	2599
26	4	Praefatiunculae		399	0	ausonius.praefatiunculae	548
27	4	Precationes		399	0	ausonius.precationes	469
28	4	Technopaegnion		399	0	ausonius.technopaegnion	1489
29	4	Versus Paschales Pro Augusto Dicti		399	0	ausonius.versus_paschales_pro_augusto_dicti	187
30	5	Concolatio Philosophiae		524	0	boethius.consolatio_philosophiae	24540
31	5	De Fide Catholica 		524	0	boethius.de_fide_catholica	1927
32	5	Liber De Persona Et Duabus Naturis Contra Eutychen Et Nestorium		524	0	boethius.liber_de_persona_et_duabus_naturis_contra_eutychen_et_nestorium	5853
34	5	Quomodo Substantiae In Eo Quod Sint Bonae Sint Cum Non Sint Substantialia Bona		524	0	boethius.quomodo_substantiae_in_eo_quod_sint_bonae_sint_cum_non_sint_substantialia_bona	1391
35	5	Quomodo Trinitas		524	0	boethius.quomodo_trinitas	2940
36	5	Utrum Pater		524	0	boethius.utrum_pater	559
37	6	De Bello Gallico	0448 001 Gal	-44	1	caesar.de_bello_gallico	51295
38	6	De Bellum Civile	0448 002 Civ	-44	1	caesar.de_bellum_civile	32336
39	7	Res Gestae Divi Augusti	1221 007 Anc	14	0	caesar_augustus.res_gestae_divi_augusti	2615
40	8	Carmina	0472 001 Carm	-54	1	catullus.carmina	12857
41	9	De Medicina	0836 002 Med		0	celsus.de_medicina	102495
42	10	Academia	0474 045 Ac	-43	1	cicero.academica	4870
43	10	Brutus	0474 039 Brut	-46	1	cicero.brutus	24762
44	10	Cum Populo Gratias Egit		-43	1	cicero.cum_populo_gratias_egit	2641
45	10	Cum Senatui Gratias Egit		-43	1	cicero.cum_senatui_gratias_egit	4330
46	10	De Amicitia	0474 052 Amic	-44	1	cicero.de_amicitia	9341
47	10	De Divinatione	0474 053 Div	-44	1	cicero.de_divinatione	27741
48	10	De Domo Sua	0474 020 Dom	-56	1	cicero.de_domo_sua	15146
49	10	De Fato	0474 054 Fat	-45	1	cicero.de_fato	4947
50	10	De Finibus Bonorum Et Malorum	0474 048 Fin	-46	1	cicero.de_finibus_bonorum_et_malorum	47231
51	10	De Haruspicum Responso	0474 021 Har	-56	1	cicero.de_haruspicum_responso	7527
52	10	De Imperio Cn Pompei		-43	1	cicero.de_imperio_cn_pompei	6666
53	10	De Inventione	0474 036 Inv	-43	1	cicero.de_inventione	32306
54	10	De Lege Agraria Contra Rullum	0474 011 Agr	-66	1	cicero.de_lege_agraria_contra_rullum	13783
55	10	De Natura Deorum	0474 050 ND	-46	1	cicero.de_natura_deorum	35698
56	10	De Officiis	0474 055 Off	-44	1	cicero.de_officiis	34281
57	10	De Optimo Genere Oratorum	0474 041 OptGen	-44	1	cicero.de_optimo_genere_oratorum	1603
58	10	De Oratore	0474 037 deOrat	-55	1	cicero.de_oratore	62153
59	10	De Partitione Oratoria	0474 038 Part	-43	1	cicero.de_partitione_oratoria	9949
60	10	De Provinciis Consularibus	0474 025 Prov	-56	1	cicero.de_provinciis_consularibus	5127
61	10	De Republica	0474 043 Rep	-55	1	cicero.de_republica	22154
62	10	De Senectute	0474 051 Sen	-43	1	cicero.de_senectute	8261
63	10	Divinatio In C Verrem	0474 005 Ver	-70	1	cicero.divinatio_in_c_verrem	100541
64	10	Divinatio In Q Caecillium	0474 004 DivCaec	-70	1	cicero.divinatio_in_q_caecilium	5818
66	10	Epistulae Ad Familiares	0474 056 Fam	-43	1	cicero.epistulae_ad_familiares	112625
67	10	In Catilinam	0474 013 Catil	-69	1	cicero.in_catilinam	12559
68	10	In L Pisonem	0474 027 Pis	-55	1	cicero.in_l_pisonem	10915
69	10	In Vatinium	0474 023 Vat	-56	1	cicero.in_vatinium	4490
70	10	Letters to Atticus	0474 057 Att	-43	1	cicero.letters_to_atticus	121458
71	10	Letters to Brutus	0474 059 adBrut	-43	1	cicero.letters_to_brutus	9539
72	10	Letters to Quintus	0474 058 Qfr	-43	1	cicero.letters_to_quintus	18368
73	10	Lucullus	0474 046 Luc	-46	1	cicero.lucullus	17960
74	10	Orator	0474 040 Orat	-46	1	cicero.orator	18531
75	10	Paradoxica Stoicorum Ad M Brutum	0474 047 Parad	-69	1	cicero.paradoxa_stoicorum_ad_m_brutum	4626
76	10	Philippicae	0474 035 Phil	-44	1	cicero.philippicae	52571
