τριάριοι,triarii
ἀνεπιεικής,circumspicientia
ὁμοιοσχήμων,performo
κῆπος,hortensis,hortensius
εὔλινος,quasillaria
πλαγγόνιον,megalium,glaucina
μενοεικής,expletio
ἐρέα,lanugino,lanarius
πόδαργος,monopodius,anguipes
σχεδόν,paene
ὁμόλογος,pactio
ξηραίνω,inaresco,exsicco
χρέμπτομαι,conspuo
ὁμωνυμία,flexiloquus
ἐλατός,holosphyratus
ὁμογάστριος,uterinus
ἀϊστόω,inaspectus
ὁμέψιος,lusio
ἐπασκέω,percolo
ἐξόρμησις,herpes
ἐρέω,requirito
κατάνευσις,astipulatus
μιξόθηλυς,subsimilis
θερμάστρα,camino
ἀρτεμής,columis
ὑπόστεγος,doma
ἔφηβος,puellus
ὁμοπάτριος,indidem
λεσβίς,atia
ἀναρρέπω,musca,superuolo
ὑποφεύγω,retrocedo
ἐπιφημίζω,nominito
σίττα,tatae,utrubi
λάρος,larus
δορυσσόητος,proeliaris
καταριθμέω,enumero,pernumero
οὐραγέω,consequia
ἐξερείδω,firmamen
σύνειμι,occurro
ὁμόχροια,coriago
νεφελοκοκκυγιεύς,coccyx,cuculus
ἐπιθαρσέω,superinduo
ὑπόπυος,caseatus
φίλοικτος,illubricans
σπιλώδης,saxetum,petrosus
καταλλάκτης,mensularius
ἰονθάς,horripilo
σπουδαιολογέω,rhyparographos
δριμύλος,penetratio
διαπορθέω,euasto
ἐπιπάρειμι,munifico
σάκρα,archium
ἀποτέλειος,sufes
ἐπιβουλία,proditus
κιθαρῳδέω,cithara,psallo
σκέλλω,exsicco,torridus
ἱπποκέλευθος,equinus
θηλυμανής,mulierosus
γνάθων,inorus,bucculentus
ἐπίκλησις,cognomentum
ὑποθερμαίνω,percandefacio
θύσις,uesanio
καθοπλίζω,obarmo
ὀμόργνυμι,siccatio
καταστέλλω,inordino
ἀποξενολογέω,locito
ῥινάω,lima
οἰκοφθορία,substantiola
ὑποκρούω,euerbero
μιαιφονέω,occisio
οἰκόνομος,dispensator
καταθλέω,exercitamentum
εὐσέβεια,pietas
ἀγυμνασία,proludium,exercitamentum
σύμπληξις,collisus
συμπεριποιέω,paratio
περικάλυμμα,theristrum,amicimen
δηιάνειρα,excidio
πλημμέλημα,peccatus,admissum
ἑξηκοστός,sexagesimus
κατεγγυάω,pignero
φαρμακεία,ueneficium
μηχανάομαι,struo
πραγμάτιον,causula
ἐκθυμία,immaturitas
κοινοβωμία,arula
ὀστέον,redo
ὑπερτιμάω,niceterium
ψυχρήλατος,frigiditas
ἐπιχρίω,superinungo,unctito
ἐπιπάλλω,praecutio
πηρόω,trunco
ἀλυπία,indolentia
ἀποτέμνω,caesa,praecido
μνημοσύνη,repetentia,recordatus
παλίντονος,lapidatio
παμπήδην,colleuo
ἀλεγίζω,prospicus
οἰστρήλατος,subteractus
πλημμέλεια,peccamen
πείθω,credo
πολυσχιδής,bisulcus
παμβδελυρός,pudibilis
οὐσιάζω,appositus
βάρακος,ophthalmias,phager
ἐμβελής,percurso
μεγαλοπρεπής,grandio
κατασκάπτω,defodio
παρεμφαίνω,offulgeo
καρπογονία,praegnatio
ἐπιγουνίδιος,serperastra,ingeniculo
φαιδρύνω,splendido
συγκληρόω,subsortior
ἀπαρρησίαστος,praelicenter
εὐλείμων,pratensis
αὐτοπάτωρ,anguigena
εὔπωλος,corticosus
συγκαταγιγνώσκω,insemel
γενεαλογία,uestigatio
τέτρατος,tetartemorion,quadrans
ὡρακιάω,languificus
ἱπποβουκόλος,canterinus,caballinus
ἐγχρονίζω,chronius
ἐκκειμένως,resutus
παράσπασις,raptorius,intractio
πρός,ad
κασσύω,transuo
ἐνέπω,renarro
ὁρκωμοτέω,iuramentum,deiero
ἐγκαθηβάω,ephebicus
στρατήγημα,strategema
ἄδυτος,delubrum
διεξάγω,perducto
ἑλκοποιέω,rhagades
προβολή,proiectus
σιρομάστης,uncinatus
ἀργύρωμα,argenteus,argentum
ἐμμέμονα,impassibilis
δενδρώδης,palumbinus
βάκχη,pirum
νηέω,structus,congeries
καταφερής,acclinis
γογγύζω,demurmuro
ἶδος,calor
σιπύη,farinarius,lauabrum
φώκη,obsigno
κοσμητικός,anchusa
τρίγληνος,unoculus
περισκοπέω,peruideo
ἀποφθεγματικός,monopolium
ἐννέωρος,nouendialis
ἀπαγορευτικός,prohibitorius
σιγαλόεις,rutilus
καταχαλκόω,aerifer
συφορβός,sybotes
πυργήρης,ephippiatus
καθιδρύω,fano
ἔμπυρος,obustus
εὔχαρις,propitius
φίλτρον,medicatus
ἑβδομηκοντάκις,septuagies,septuaginta
φαινόλη,epitogium
λάκκος,fouea
λάμια,fabularis
ὀλιγωρέω,posthabeo
φάλαγξ,phalanx
νοτέω,udus
τηλεδαπός,illatenus
ἰδνόομαι,conduplico
δηλέομαι,diritas
ἀμπελών,hortulus
βάκτρευμα,furcillo
σύντονος,uiolens
ὀργίλος,acclinis
ὅδευσις,permeatus,meaculum
εὐνάζω,repono
ὁμοιότης,instar
προσπίπτω,incido
χαλκίοικος,scenites
ἐπικατασφάζω,leto
ἑπτάστερος,septunx
πολίζω,inaedifico,aedifico
μέλεος,infelicito
ἐντινάσσω,quassabilis
εὔγραμμος,puteanus
ἐπιπόλιος,semicanus
παρόραμα,mendum
ἐπαναπλέω,reuecto
ὀργυιαῖος,sarabara
ἐρίβρομος,altitonans,conclamatio
ὄσιρις,lacta
νάγμα,congesticius
ἀπόφραξις,obstructio
ὧρος,anniculus
ἀποσκοπέω,introspicio,perspecto
ἐργάτης,ergata
μεγαλορρημονέω,gloriator,alazon
ἐξαργέω,percrudus
ἀγένειος,puellus
δοάσσατο,addecet
ψευδουργός,excaecator
ἐπεκτείνω,prolixo,extento
προφοβέομαι,praetimeo,praeformido
πολυθρέμματος,pecorosus,perdiues
ἐπίληψις,pignoriscapio
παραπλέκω,plexus
ἀνάρρινον,enaris
μνῆστις,recordatus
χλοερός,uiresco
συνθραύω,frio,interfringo
παρακόπτω,discido
ἀνεφάλλομαι,subsilio,circumsilio
θάκησις,assessus
κροκάλη,litoreus,litoralis
ἀναφυσιάω,flato
ἐκκρήμναμαι,praependeo,circumpendeo
προσαναζητέω,expiscor
κοινοδίκιον,intergarritus
ἀνιάομαι,reconcinno
ὑπεραισχύνομαι,pudefactus,depudet
παρατρέφω,compasco
ἀνοσιότης,scelerosus
οἴ,hei,uae
ἡγεμόνευμα,ductio,perductio
φιλόμολπος,saltatus
ἐλέφας,ebur
διφρηλάτης,aurigarius
ἀλλαχόθεν,alicunde
κύημα,eiectamentum
αὐτοκέλευθος,euasio
ἀποξενόω,expectoro
αἰσυμνήτης,uilico
ἔκρυσις,diametrum
ὑπόροφος,praemollis
ἀντίλεξις,obloquium
συμπαρακελεύομαι,irritatus
ἐπεσβόλος,stultiloquus
αἰγιπόδης,monopodius
κῦρος,regnum
μετασχηματισμός,cubitorius
σκυτικός,herbarius
ἀποθυστάνιον,rhytium,potorius
θυίω,fatuor
κακοδαιμονία,infortunium
θυία,cedrium
θυγατριδοῦς,nurus,pronepos
κόκκος,coccum
προσωνέομαι,praestino
ναός,delubrum
ναόω,attulo
ἀποβλάστημα,taleola,congermino
παρακέλομαι,introuoco
καταμεθύσκω,uinolentus,mattus
ἱππομανής,hippomanes
συγκατήγορος,insimulator
παμφαής,florus
στομίας,caballinus
ἐπιδορπισμός,epidipnis
ὀρνιθομανέω,trygona,phoenicurus
διφθέρινος,scorteus
τραγέλαφος,aegoceros,hircinus
ἑξηκονταέτης,sexagenarius
ἀθηρηλοιγός,flabello
δυσπάρευνος,aegreo
διανίσσομαι,transtineo,laecasin
προστυπής,consectatrix
πρωτοστατέω,primulus,prototomus
πολλάκις,totiens
μαλερός,praeferox
δυσφωνία,aspritudo
ἀπαείρω,emigro
ἐπίταξις,imperatus
γρῖφος,griphus
ὀκτωκαίδεκα,duodeuiginti,octodecim
ἀντίβλεψις,transpectus
ἀμπέχω,quaestiono
ἀλαπάζω,emulgeo
τολμητής,audaculus
ἀνοιστρέω,distimulo,mania
κῆβος,cercopithecus
περικοπή,sectio
ἀκιδνός,perinfirmus,perimbecillus
προφορά,incomitio
ἐφίημι,permitto
ἐξαυλίζομαι,laecasin
μυθογραφία,graphiarius
ἐπέμβασις,gradatus
ἐνείλλω,circumuestio
τελεόμηνος,bimestris
τελεσιουργέω,gyrinus
προσβάλλω,inicio
ὕκης,acharne,hippus
δίβολος,indeiectus
ἀρχαιόπλουτος,ditiae
τρόμος,tremor,tremulus
τεκνοποιία,genitus
πολύκριτος,dispesco
μετεννέπω,intersono
ἐϋμμελίης,fraxineus
ἐποίχομαι,beto
ῥέμβος,omniuagus,erratio
ἐπῳδή,cantio
τιμαλφής,interspiratio
ὑπεκβαίνω,effugius
συνεράω,conuolo
παρακμάζω,praeterfluo
ἰχθύδιον,pisciculus,pauxillus
διαποικίλλω,inorno
ἑκατοστός,centesimus,ducentesima
ὀλιγοχρονέω,diutule
ἀνεκδιήγητος,inenarrabilis
θηητήρ,admirator,mirator
ἐπισυνάπτω,interstruo
εὐάν,nysion,hederaceus
συντάραξις,turbamentum
ἐμπήγνυμι,congelo,gelo
ὑποθέω,celatum
βύθιος,grauiusculus
ἐγκαλέω,insimulo
ἔμβρωμα,cauernula
ἀπογίγνομαι,absento
ἠπιόω,indolesco
προσπαλτόθεν,abusque
ξενοδοκέω,protestor
συμφορητός,collectaneus
φημί,inquam
ἀποδιατρίβω,reprehenso
ὕβριστος,procax
προεκκαθαίρω,circumpurgo,defaeco
φυτικός,herbarius
βληχωνίας,blechon,puleiatus
διασίζω,instrido,insibilo
περιφάνεια,circumquaque
ἐφευρίσκω,uestigo
τριετηρίς,trieteris,triennia
κόραξ,coruus
εὐωδία,olfactus
προσαρτάω,adalligo
ἀνατατικός,minitabundus,comminatio
ἀφιλόπονος,opificium,opusculum
κατακερτομέω,oblatro
καταδρομή,incursio
τύκος,securifer
προὔργου,famulo
μαχαιροφορέω,lano
οὐρέω,fluento
τάξος,taxus
ἀναξύω,superrasus,circumscalptus
ἰσημερινός,aequinoctialis
πεμπτημόριον,quintanus
σκυλοδέψης,coriarius
γειτονία,quadrantarius
πλοῖον,puppis
ἀγλαόθρονος,praefulgidus
συνοικέσιον,innuptus,camelae
ἔα,hem
ἰάσιμος,sanabilis
εὐήκοος,audientia
διαιτητής,disceptator
καμηλοπάρδαλις,camelopardalis
βαλανηφάγος,balanitis,glandifer
εὔμαρις,calceamen
παρίσθμιον,tonsilla
καταμώκησις,illudium
ἐπαγωγός,inuitabilis
