uεόν,renovatur,induo
̔ραββουνεί,rabboni,conversa
̔ραμά,ploro,ululo
̔ρεβέκκα,concubitus,Rebecca
̔ρόδη,Rhode,pulso
̔ρομφά,deeo,suscipio
̔ροῦφον,Rufum,saluto
̔ρώμην,Romam,sic
̔ρωμαιόις,Romani,praesento
̔ρωμαιο͂ς,Romanus,at
̔ρωμαιο͂ι,Romani,Frygiam
ἄγαβος,Agabus,nomen
ἄγγος,malus2,impleo
ἄγναφος,nemo,pannus
ἄγριος,procella,despumo
ἄδικος,iniquus,fidelis
ἄζωτος,evangelizabat,pertranseo
ἄθλησις,certaverit,legitimus
ἄκανθα,spina,cado
ἄκρος,superus,eligo
ἄλαλος,benus,surdus
ἄλογος,blasphemo,ignoro
ἄμαχος,litigiosus,modestus
ἄμμος,harena,marum
ἄμωμος,immaculatus,sinis
ἄνευ,murmuratio,sinis
ἄνθος,faenum,flos
ἄνθρωπονεἴτε,sive,nescium
ἄνοια,insipientia,proficio
ἄντικρυς,venimus,sequor
ἄνω2,sursum,Christo
ἄπαγε,indico,centurio
ἄπειρος,lacta,expers
ἄπταιστος,conservare,sinis
ἄραψ,magnalia,Arabes
ἄριστος,prandium,reputo
ἄρρωστος,aegrotus,inpono
ἄρτεμις,Ephesiorum,Diana
ἄρος,igitur,ita
ἄρτονμή,porrigo,numquid
ἄσημος,ignosco,rogum
ἄσοφος,caueo,insipiens
ἄστοργος,inconpositos,foedo
ἄτακτος,ambulo,consolamen
ἄτιμος,sinis,honorus
ἄφαντος,oculus,evanuit
ἄφιξις,graves,grex
ἄρχω,coepi,princeps
ἄφρων,insipiens,glorior
ἄχρηστος,inutilis,aliquando
ἄψινθος,aqua,amarus
ἀαρών,Aaron,sacerdos
ἀββά,Abba,Pater
ἀβιάθαρ,sacerdos,licet2
ἀβρααμ,Abraham,libo
ἀγαθοεργέω,communico,facilis
ἀγαθωσύνη,bonitas,fructus2
ἀγαλλιάω,gaudeo,exultatis
ἀγγαρευόυσιν,angariaverunt,Simonem
ἀγγελιά,annuntiatio,alteruter
ἀγενεαλόγητος,sinis,genealogia
ἀγνόημα,sinis,semel
ἀγνοιάς,ignorantia,despicio
ἀγοραιών,quaero,malus2
ἀγρέω,ager,camelus
ἀγριέλαιος,aliquis,radix
ἀγοράζω,emo,emeo
ἀγρυπνέω,vigilate,tempus
ἀγωγή,dilectio,adsequor
ἀδάμ,Adam,Eva
ἀδελ,fur,comprehendo
ἀγαπάω,diligo,ego
ἀδελφότης,fraternitas,resisto
ἀδημονέω,maestus,coepi
ἀδιάλειπτος,sinis,intermissio
ἀδικιᾴ,iniquitas,veritati
ἀδικιάς,iniquitas,peccatum
ἀδύνατος,impossibilis,apud
ἀθέμιστος,abominor,coniungo
ἀείδω,canticum,canto
ἀθῆναι,Athenis,remano
ἀθροίζω,regredior,invenerunt
ἀἰγύπτῳ,Aegypto,multiplico
ἀκαθαρσιά,fornicatio,immunditia
ἀκαθαρσιάς,immunditia,dolus
ἀκατάκριτος,Paulus,romanus
ἀκατακάλυπτος,oro,caput
ἀκαταστασιάι,qualis,fors
ἀκέραιος,sinis,medius
ἀκηκοάμεν,audivimus,adnuntio
ἀκλινής,indeclinabilis,confessio
ἀκοή,verbum,auris
ἀκολουθέω,sequor,Petrus
ἀκουέί,mundo,ideo
ἀκουέται,fornicatio,inter
ἀκουόντα,invenerunt,interrogo
ἀκουόυσιν,vident,resurgo
ἀκουόντες,videntes,intellego
ἀκουώσι,videant,dimitto
ἀκρατής,sinis,immitis
ἀκριβής,diligens,certus
ἀκροατής,auditor,factor
ἀκροβυστιάν,praeputium,circumcisio
ἀκρογωνιαιόυ,superaedifico,Christo
ἀκυρόω,irritus,rescindo
ἀλάλητος,Spiritus,inenarrabilis
ἀλαζών,parens2,effero
ἀλέξανδρος,Alexander,reddo
ἀλεξανδρεύς,eloquor,potens
ἀληθειᾴ,veritate,veritati
ἀλήθεια,veritatem,veritas
ἀληθευών,inimicus,verum
ἀλίσγημα,abstineo,contaminatio
ἀλλαχόθεν,amen,fur
ἀλληγορέω,genero,dicte
ἀλλογενής,inventus,alienigenus
ἀλλοτριάν,repromissio,idem
ἀλλοτριῴ,alieno,alienum
ἀλοής,Nicodemus,fero
ἀμάραντος,conservatam,immarcescibilis
ἀμαθής,intellego,scriptura
ἀμέριμνος,sinis,securus
ἀμετακίνητος,ita,inanis
ἀμιάντος,immaculatus,decet
ἀμνοῦ,incontaminatus,immaculatus
ἀμπελουργός,quaero,etiam
ἀμύνω,iniuria,ultio
ἀμφιάζω,sic,fides
ἀμφότερος,ambo,caecus
ἀνά,singulus,inter
ἀνάγκη,necessitas,necesse
ἀμήν,amen,saeculum
ἀνάδειξις,conforto,desertum
ἀνάλυσις,delibo,resolutio
ἀνάκειμαι,discumbo,recumbo
ἀνάπαυσις,requies,sancio
ἀναβάλλω,Lysias,differo
ἀνάστασις,resurrectio,Sadducaei
ἀναβιβάζω,malus2,impleo
ἀναγγέλλω,adnuntio,venerit
ἀναγκάζω,conpello,cogo
ἀναγκαιᾶ́,necessariora,infirmis
